January,February,March,April,May,June,July,August,September,October,November,December
3.36E-04,1.42E-01,0.0938658,1.36E-01,1.31E-01,4.86E-02,0.0916239,9.68E-02,2.30E-01,0.0329899,1.20E-05,0.000145838
0.242133,0.0475251,2.27E-05,0.144321,6.60E-06,0.121088,0.00641339,3.94E-02,1.23E-01,9.78E-02,0.0817714,0.0589547
9.03E-02,1.23E-01,0.0944052,0.0904599,0.109917,1.35E-01,1.44E-01,0.123378,1.06E-01,1.13E-06,4.90E-02,5.28E-05
2.15E-05,3.11E-05,0.0264714,1.02E-01,0.0930157,1.32E-03,1.36E-01,0.0378865,8.04E-02,3.90E-02,2.36E-01,0.170197
0.102181,0.0730893,2.45E-02,0.00517768,1.46E-01,4.97E-01,0.033144,1.24E-01,2.36E-02,2.04E-05,0.146616,0.182264
1.81E-01,4.70E-05,9.76E-02,8.34E-05,0.00128625,1.99E-05,1.12E-05,4.40E-06,2.30E-05,2.28E-02,0.0295091,0.119844
0.136437,0.00551083,1.31E-05,3.71E-05,1.47E-05,0.114662,0.0985679,4.00E-03,1.24E-05,3.43E-04,0.0755089,0.105229
0.105838,6.09E-05,1.36E-05,0.0221774,9.42E-02,0.0178045,2.05E-01,0.0461388,0.0724065,3.99E-05,0.0796912,7.20E-06
5.39E-05,2.94E-07,0.126261,0.0206431,0.037374,6.83E-02,1.53E-01,9.60E-02,2.07E-05,7.48E-06,0.123658,2.53E-02
2.95E-02,0.177113,2.36E-05,0.0476666,0.193514,0.160664,0.0413298,0.0468279,0.2066,5.79E-05,0.163498,0.0338569
9.57E-02,0.131178,0.179805,0.0706648,2.03E-01,4.23E-05,3.45E-02,9.59E-01,1.89E-01,2.32E-06,0.0161442,0.251208
4.59E-02,5.60E-05,1.44E-01,0.0172824,0.138853,2.11E-05,0.0875742,0.122808,0.0998086,0.0340723,0.200533,0.101169
1.25E-01,0.108359,6.27E-06,0.068984,0.131981,0.00792884,0.0498375,0.0347094,0.0035524,1.44E-01,0.000137907,0.507086
2.55E-04,0.245299,0.0632126,0.180569,8.38E-01,3.34E-05,1.74E-06,6.39E-05,3.31E-03,9.65E-03,1.50E-05,0.0221142
0.0482284,0.137651,2.13E-01,0.0155138,1.25E-01,1.92E-01,9.24E-02,0.037835,0.0144753,1.31E-01,0.112064,3.27E-05
1.16E-04,0.126657,0.215882,1.08E-05,1.99E-05,1.52E-05,0.0434074,2.15E-01,0.96581,0.156629,0.0970875,4.34E-02
8.72E-02,1.40E-04,1.15E-01,2.68E-03,0.0352884,1.02E-01,0.13155,1.35E-05,0.0130497,0.0994955,1.25E-01,0.0706255
1.98E-05,1.31E-01,0.121006,0.010203,2.04E-01,1.26E-01,9.50E-01,7.46E-06,0.0700279,3.17E-02,2.86E-05,3.25E-05
9.06E-01,0.0719548,1.41E-01,3.27E-05,1.28E-05,0.110388,0.136802,5.41E-02,1.71E-05,0.0948337,1.60E-02,0.117251
0.0756338,2.97E-02,0.114389,1.87E-02,8.00E-02,1.87E-01,4.28E-06,2.63E-05,1.09E-01,8.59E-02,2.06E-01,0.0184639
5.59E-05,0.212563,0.0142304,1.11E-05,0.0346216,9.28E-03,7.95E-01,1.56E-05,0.0305743,0.126404,4.23E-02,0.143061
0.0123145,5.76E-05,2.73E-02,0.111594,0.150949,5.47E-02,7.07E-03,2.65E-06,0.094265,5.00E-03,4.21E-02,3.75E-02
0.0222262,6.14E-05,1.63E-05,0.196968,0.0320694,1.24E-02,3.49E-05,0.140356,0.0630772,0.0590905,5.22E-05,0.0480962
2.00E-01,0.0684915,0.714661,6.17E-02,0.220446,0.0423548,1.38E-01,2.37E-02,0.0209055,1.73E-02,3.04E-05,6.38E-06
0.0474322,0.103619,3.88E-01,0.105262,0.111303,0.0140756,0.0424084,9.17E-02,2.54E-02,0.131379,0.0715814,4.82E-03
8.92E-02,7.26E-05,8.14E-02,2.47E-01,0.016003,1.51E-02,0.157277,4.30E-02,3.71E-05,0.204855,0.214052,2.31E-05
