"","October","November","December","January","February","March","April","May","June","July","August","September"
"8047",382190.330042407,355955.89510357,351081.138633517,360482.037968909,230018.105017047,435836.677692432,274525.271227525,392434.913943923,291735.958853358,360042.946142414,281378.133244778,291781.301681424
"8048",211147.308414824,138694.592990688,221595.459252117,208206.853749619,133722.074161368,183430.013005618,226044.463165509,158640.676248342,143544.392571236,278269.280173617,208160.97133329,222061.207739953
"8049",106632.945611515,236945.315202355,62377.8210452958,133394.98490756,146861.152395622,115312.636841666,116264.899055894,85458.2312831204,213713.22011888,85808.182637427,151067.356444171,296154.015054407
"8050",109555.190627081,72596.0853085774,97311.5136062051,80789.7049111104,96232.4444502182,104178.756831862,120711.235813815,104338.72501643,84786.3424505422,61988.8098843834,116457.060454162,77973.527489075
"8051",114889.05690239,157675.575744959,86202.0165175187,106284.663569745,216530.435687098,149453.92918963,60511.0347899097,98636.3037586348,176233.790160124,85937.2765236889,172313.093855433,131180.689626603
"8052",133830.984342613,76123.1329411282,83226.3198868758,74309.2241445559,124255.431985741,72050.4700055296,102969.093839726,109540.563622233,158396.599727297,152718.249784535,185318.836957992,136437.72882419
"8053",361565.59958834,510605.775546645,434107.354846726,408923.724810007,395220.205718462,185192.271449005,434432.10194848,328820.095207625,481755.920332893,766159.299416417,1141605.17069608,691954.799281308
"8054",920008.691336225,948073.569740751,797847.572974189,1138309.75564688,728499.572344802,1057150.91086735,788719.85661108,850721.15715532,656613.787938655,840990.599375804,1091147.35500981,850323.346961337
"8055",1253308.73327566,1084193.74189114,1035809.19608222,981810.381189902,979741.495457988,838563.345271716,1083077.37214464,875035.228304805,724985.589421295,1221191.31027658,798975.476741895,1151856.37716294
"8056",1035960.96347888,728549.619174243,1281913.17023918,904419.284160209,1072387.47645116,1058887.49840702,588145.748992501,709281.906562669,777712.645285682,1193815.05554778,1069231.55035926,1155327.761136
"8057",871133.386244813,686559.783655866,653856.154007611,919002.020816244,843371.135746408,777796.599555584,976677.055119015,749046.844708075,767222.7740692,611035.873376905,709512.790048009,673558.747949781
"8058",419130.617246196,440510.480810709,409082.288732461,534296.551915982,302627.177108564,524662.832814206,474127.399845687,392606.926086682,477679.026759938,464937.064974826,399247.093399699,355543.067850754
"8059",277589.721953129,380671.968529026,254570.985802673,288559.060035829,259271.86698312,288729.08575221,326986.315486042,251183.59329913,200720.841845515,275095.093420251,420043.541475746,233605.849124362
"8060",192804.258324168,224284.113577932,208619.073476805,320370.255048894,152418.509307354,212360.796037905,207501.680351334,345056.768994603,160924.714529636,229133.639909183,160407.269519887,186383.957995814
"8061",85066.1277566684,75688.7294057377,94994.9438293017,111145.655154659,120455.716581601,105331.459306975,131869.519139464,211945.929411613,123021.748353827,178865.724377079,185921.444127055,82296.659166083
"8062",93136.811979516,90956.9593736635,53300.0630562385,96188.1711250924,91835.3050560758,72823.4611859849,87080.6397411333,48795.7463404422,105876.516569041,72204.1092621592,65232.1282160383,201574.318812768
"8063",61600.8722807731,186898.337825684,345490.902984192,154316.770217415,141335.560222346,414994.794352208,136292.41552864,127765.077139162,167298.749549652,70678.4476349156,207179.733286741,161116.317739576
"8064",165142.095796524,234669.127381417,141556.995805562,150253.849802559,93558.7406005019,76344.8306389769,116680.732791382,153354.580687625,117895.88086244,80163.0225571856,95087.9730262639,60886.7719047458
"8065",148600.848388773,345204.30061935,284477.600136543,546343.714833449,295920.548976884,563227.924317446,652906.225877031,328906.326122008,360030.690388763,616057.789981953,917691.855809293,362823.944786433
"8066",682513.96160858,798061.8177312,1111883.23463404,903502.726543973,668630.755090754,930650.352115709,1117057.36858925,978471.386914235,797985.845834915,876820.472954255,912104.816176363,563191.244523183
"8067",959763.9997191,1092783.2965959,1142263.43739314,1180382.06271142,795168.566469412,686894.215740416,880845.43516411,611864.274286919,1062047.52017424,916672.988872369,748991.123973006,694969.722233868
"8068",1101791.41939612,1197541.12835483,1232400.12397973,960960.733062382,716499.594011184,1265418.16788558,936026.069417513,740317.047371449,1018607.56525726,1564781.76353331,719715.922863937,989241.168867518
"8069",832986.070457887,651798.636027826,1055270.51511,688964.444185768,506419.842514007,848689.43820143,866885.230142093,769128.71938821,617330.259478482,754480.796971987,651384.52847812,663136.425942557
"8070",402098.983819188,465988.280272349,375678.129253498,324400.114299419,311444.707713331,252785.659499344,445126.645081279,355493.529909217,307069.322143077,504750.816026606,562893.15342689,466451.949676454
"8071",272091.757953515,313752.394580648,205220.576373853,229501.336888944,233563.684117918,278228.640697986,383251.529905226,315375.743509005,299395.426394565,276856.866689056,316187.83585411,324635.10156655
"8072",246415.679365092,156714.276807082,134210.707728198,166802.112278062,255322.101712799,217524.528830556,239916.232903385,163551.359134814,115575.758434324,146581.652625653,349937.673549803,203495.852800297
"8073",161192.885844308,161287.422554067,139932.037046027,135252.385854201,115540.26355567,149147.570696602,118354.480341744,163467.135115638,141636.052179506,99636.473513991,194674.416235454,140002.692993371
"8074",75739.7082063955,117993.979604707,82530.7248031745,96973.4269136102,106434.711418469,65913.1554182543,60361.2749102915,77344.0983658437,74405.1871491963,59356.5790829156,46654.9678727852,77256.0113558549
"8075",211007.968008937,102915.99869771,154505.594981836,139945.736456661,217019.187002935,95031.6835062116,192529.713201925,108035.925201861,108747.656589822,384593.805130597,100629.836994649,227512.364102285
"8076",88932.0005408031,101431.47162825,181362.873582546,180658.025155316,95367.0933326845,136200.962221327,105678.290699144,193062.413500656,186483.502285975,60458.8944165041,104296.696568065,128223.354011736
"8077",373746.544803643,404936.130541461,368609.814731482,310088.737442616,265352.069710634,734259.388328692,276682.806162416,287536.719490322,259879.320296874,173768.491788986,436123.016502757,270974.436906238
"8078",831543.228070802,1025173.16685758,1047979.90893535,1025597.97259077,857780.829785923,1233236.82113993,927482.112060908,1197488.84940461,1103027.97965035,1041431.54245089,695630.173782553,749369.467357951
"8079",1009850.21029543,1044222.19716569,1176310.3307179,1054122.75304463,1058606.48440938,1116034.43722191,1120070.96949626,1214577.907988,701382.462564052,1097641.57192489,782734.857876795,1269049.64578145
"8080",894562.725659237,1026879.78720767,1043149.73939318,939950.252550105,831003.695119548,760203.888831349,1047833.41466449,1009575.08383716,941915.747303323,1177493.90862432,843952.75911111,923103.57535184
"8081",765056.670857247,1046627.52419819,1084316.19979128,969146.491428038,1059906.39345921,699200.324377054,759574.526614576,755718.666422348,705459.923643303,695816.892905785,1017440.98647632,583684.531383042
"8082",442168.130241595,330715.833826927,345323.961670723,334315.410002373,380841.119642131,324380.115766179,482217.194553718,391665.888111096,450844.929865404,378068.888015419,488966.636045019,364171.552551644
"8083",241191.932627529,264645.174848434,268755.404069856,232071.189973869,361254.041439273,258664.83095185,284374.655719506,276752.713165152,371993.646004868,186729.014044169,327613.369701025,222402.899767447
"8084",133807.300551034,232548.548395369,159897.18281844,213360.315891487,221453.496519766,217832.048452652,179112.540117977,145998.944684311,229897.602876855,189034.703953249,272380.687464178,200717.366843196
"8085",138325.685059725,98218.3925362059,148639.723518333,208320.867469057,124265.572369871,92484.4918104508,142154.529531416,116355.559825438,94243.6071034791,152823.042296807,174391.159137715,149047.668158185
"8086",138314.915480187,90900.9693995175,80797.5736033974,55512.7791806945,85925.2814378016,77248.6477916248,56048.7221254838,46322.3172058551,88893.8179707849,133844.311769045,152119.006744728,76712.0009327193
"8087",165259.901716544,93268.8389344641,201122.335834394,137583.692728019,115416.565701578,173613.002638214,178376.179932165,311648.578381577,172817.06885956,186953.622166062,296343.089180838,118713.835962473
"8088",92955.2473188508,121258.284956255,84882.8215636274,95769.1453301369,56570.4317687289,108532.837276062,79068.851866493,96257.8407948793,91592.1898844545,235671.983835413,73999.7005607917,67714.8159028785
"8089",786407.743617445,267310.211743463,574959.213188562,632233.731558355,792073.343366434,307793.670748801,566170.713351998,229194.080168234,312381.091588744,215270.401800754,442738.498986977,353730.480189403
"8090",567588.612995949,822473.536890363,952436.95089506,963359.275670627,720170.913120145,763767.394300724,1055885.66885684,906784.459873424,1060109.68195431,836674.810752757,1074962.79012633,789548.824714934
"8091",974677.302857395,822564.493438953,945520.265070781,1164205.87657201,1006301.88902518,749419.295587778,1001500.95278935,647002.484446414,926126.758987203,1105077.4642183,1468490.72904148,843231.969188217
"8092",1070823.48399294,903694.531748785,923465.568487318,1121653.43679747,690228.862013338,952919.277540166,965134.822770867,852128.318923943,1211605.69470652,810063.952354491,1100117.65850331,1057828.4150995
"8093",911331.937995565,571243.849566443,787943.26411411,829365.433165631,666420.480588832,658945.909087742,788719.915570123,720006.898821419,718527.421774973,632556.126673899,752252.0812175,752056.349946282
"8094",341722.21150183,325850.271302838,369082.082183114,387426.507616567,444773.997452383,445389.185699737,559063.5906873,531986.086996589,334103.482312262,354139.149392082,392080.081208359,329171.043172304
"8095",421166.180553711,391620.422837331,359339.904459523,304093.898920986,262789.552907155,306854.764939045,325357.467311808,318355.360256641,467210.548320153,263027.994799113,379385.716737899,269246.944736827
"8096",250208.564026484,185295.621039682,241049.28886322,146336.659909703,236360.97942732,173234.48770084,206239.095157431,158431.709943977,172991.516980116,135362.323235162,231068.471093436,264892.58598038
"8097",178850.323404028,147434.983744863,183431.167428143,165677.684463953,128694.074667137,128179.393031155,83970.2024415455,122009.47488728,107490.554860965,84224.1057240431,160453.686898966,159990.154475067
"8098",73551.4593267942,89723.5768898599,170454.710917031,56131.371468433,74594.6047445606,77066.2998370773,75689.3217492574,108350.57786741,43795.3924728988,109964.003918507,169111.348772627,109170.464462702
"8099",264051.669570846,136692.425266033,130331.035216361,262028.544082783,256669.34456654,94452.3257473634,130769.647353486,72084.0567623969,192450.373003261,114407.599207954,151255.088276646,459778.738369764
